Date,County.Name,Partially.Vaccinated,Fully.Vaccinated,First.Booster.Dose,Second.Booster.Dose
2020-12-17,Mifflin,15,NA,NA,NA
2020-12-17,Monroe,7,NA,NA,NA
2022-04-11,Perry,5,5,12,41
2020-12-17,Montour,14,NA,NA,NA
2021-12-20,Carbon,55,30,204,NA
2020-12-17,Northumberland,27,NA,NA,NA
2020-12-17,Perry,3,NA,NA,NA
2021-07-24,Fayette,48,25,NA,NA
2020-12-17,Schuylkill,1,NA,NA,NA
2020-12-17,Snyder,15,NA,NA,NA
2020-12-17,Somerset,1,NA,NA,NA
2020-12-17,Susquehanna,1,NA,NA,NA
2020-12-17,Union,49,NA,NA,NA
2020-12-17,Venango,10,NA,NA,NA
2020-12-17,Warren,1,NA,NA,NA
2020-12-17,Washington,112,NA,NA,NA
2020-12-17,Wayne,4,NA,NA,NA
2021-02-19,Lackawanna,529,873,NA,NA
2020-12-17,Wyoming,2,NA,NA,NA
2020-12-18,Adams,51,NA,NA,NA
2020-12-18,Armstrong,78,NA,NA,NA
2021-11-02,Crawford,34,29,134,NA
2020-12-18,Bedford,16,NA,NA,NA
2020-12-22,Huntingdon,84,NA,NA,NA
2022-09-01,Lancaster,84,33,23,17
2020-12-18,Bradford,31,NA,NA,NA
2022-10-24,Cumberland,16,16,NA,NA
2021-06-26,Indiana,30,71,NA,NA
2021-10-26,Columbia,35,23,253,NA
2022-04-01,Chester,112,189,202,793
2020-12-18,Clarion,95,NA,NA,NA
2020-12-18,Clearfield,172,NA,NA,NA
2020-12-18,Clinton,18,NA,NA,NA
2021-04-29,Luzerne,1428,1427,NA,NA
2022-04-20,Luzerne,80,66,68,611
2021-02-09,Wayne,117,76,NA,NA
2020-12-18,Elk,36,NA,NA,NA
2021-09-16,Cumberland,131,183,46,NA
2021-12-10,Centre,177,65,502,NA
2020-12-18,Forest,12,NA,NA,NA
2020-12-18,Franklin,33,NA,NA,NA
2020-12-18,Greene,10,NA,NA,NA
2020-12-18,Jefferson,97,NA,NA,NA
2020-12-18,Juniata,10,NA,NA,NA
2022-08-18,Dauphin,68,37,49,54
2021-01-27,Columbia,298,267,NA,NA
2022-12-13,Bedford,NA,NA,NA,NA
2020-12-18,Lebanon,10,NA,NA,NA
2021-12-13,Schuylkill,101,98,342,NA
2021-04-16,Clinton,87,149,NA,NA
2020-12-18,McKean,5,NA,NA,NA
2021-07-07,Perry,14,43,NA,NA
2021-03-13,Huntingdon,34,196,NA,NA
2021-11-25,Lehigh,2,11,6,NA
2021-02-26,Berks,823,1339,NA,NA
2022-11-06,Lebanon,NA,NA,NA,NA
2021-07-15,Luzerne,171,256,NA,NA
2022-06-16,Berks,59,33,74,151
2020-12-18,Perry,3,NA,NA,NA
2022-09-24,York,5,12,3,NA
2020-12-18,Pike,9,NA,NA,NA
2020-12-18,Potter,10,NA,NA,NA
2020-12-18,Schuylkill,120,NA,NA,NA
2022-09-21,Centre,8,9,3,NA
2020-12-18,Somerset,83,NA,NA,NA
2020-12-18,Sullivan,1,NA,NA,NA
2020-12-18,Susquehanna,1,NA,NA,NA
2020-12-18,Tioga,2,NA,NA,NA
2022-04-07,Clearfield,4,5,14,21
2020-12-18,Venango,42,NA,NA,NA
2020-12-18,Warren,11,NA,NA,NA
2022-01-24,Philadelphia,1788,1408,2321,NA
2022-05-24,Crawford,8,7,14,75
2021-04-30,York,1182,2887,NA,NA
2021-11-01,Bradford,74,22,208,NA
2022-12-23,Delaware,17,17,NA,NA
2022-06-23,Erie,29,18,49,86
2020-12-19,Adams,9,NA,NA,NA
2020-12-19,Armstrong,23,NA,NA,NA
2021-09-03,Montour,34,30,40,NA
2020-12-19,Bedford,3,NA,NA,NA
2020-12-19,Bradford,50,NA,NA,NA
2021-09-24,Bucks,451,448,621,NA
2020-12-19,Butler,118,NA,NA,NA
2022-07-07,Lackawanna,31,11,35,62
2020-12-19,Carbon,34,NA,NA,NA
2020-12-19,Centre,154,NA,NA,NA
2020-12-19,Clarion,20,NA,NA,NA
2020-12-19,Clearfield,27,NA,NA,NA
2020-12-19,Clinton,14,NA,NA,NA
2020-12-19,Columbia,89,NA,NA,NA
2020-12-19,Cumberland,31,NA,NA,NA
2020-12-19,Dauphin,20,NA,NA,NA
2020-12-19,Elk,1,NA,NA,NA
2020-12-19,Fayette,105,NA,NA,NA
2020-12-19,Forest,4,NA,NA,NA
2022-12-19,Northampton,8,2,NA,NA
2020-12-19,Greene,1,NA,NA,NA
2020-12-19,Huntingdon,10,NA,NA,NA
2020-12-19,Indiana,31,NA,NA,NA
2020-12-19,Jefferson,4,NA,NA,NA
2020-12-19,Juniata,2,NA,NA,NA
2021-05-16,Wayne,31,17,NA,NA
2020-12-19,Lancaster,156,NA,NA,NA
2020-12-19,Lawrence,10,NA,NA,NA
2021-05-29,Perry,46,75,NA,NA
2021-08-19,Union,22,15,8,NA
2021-06-26,Allegheny,448,799,NA,NA
2022-11-28,Juniata,NA,NA,NA,NA
2022-03-02,Huntingdon,11,7,6,NA
2020-12-19,Mifflin,25,NA,NA,NA
2022-10-22,Bucks,6,9,NA,NA
2022-12-10,Huntingdon,NA,NA,NA,NA
2022-12-06,Northampton,12,22,NA,NA
2020-12-19,Northumberland,78,NA,NA,NA
2021-02-20,Allegheny,4587,2216,NA,NA
2021-11-06,Centre,1290,31,235,NA
2020-12-19,Potter,1,NA,NA,NA
2020-12-19,Schuylkill,30,NA,NA,NA
2020-12-19,Snyder,13,NA,NA,NA
2020-12-19,Somerset,11,NA,NA,NA
2020-12-19,Susquehanna,5,NA,NA,NA
2020-12-19,Tioga,4,NA,NA,NA
2021-05-15,Lackawanna,351,677,NA,NA
2022-06-08,Lehigh,45,31,47,102
2020-12-19,Warren,14,NA,NA,NA
2021-04-29,Lebanon,493,878,NA,NA
2020-12-19,Wayne,10,NA,NA,NA
2022-10-23,Mercer,1,1,NA,NA
2020-12-19,Wyoming,5,NA,NA,NA
2021-03-24,Indiana,102,109,NA,NA
2020-12-20,Armstrong,9,NA,NA,NA
2020-12-20,Beaver,20,NA,NA,NA
2020-12-20,Blair,7,NA,NA,NA
2021-10-24,Lancaster,87,61,311,NA
2021-03-05,Allegheny,11023,5226,NA,NA
2020-12-20,Carbon,18,NA,NA,NA
2020-12-20,Centre,47,NA,NA,NA
2022-06-22,York,39,42,58,194
2020-12-20,Clarion,4,NA,NA,NA
2020-12-20,Clearfield,6,NA,NA,NA
2020-12-20,Clinton,13,NA,NA,NA
2021-05-10,Armstrong,80,355,NA,NA
2020-12-20,Crawford,5,NA,NA,NA
2021-04-06,Susquehanna,142,106,NA,NA
2022-05-17,Beaver,17,19,20,120
2021-10-23,Perry,28,24,110,NA
2020-12-20,Elk,1,NA,NA,NA
2020-12-20,Erie,132,NA,NA,NA
2020-12-20,Fayette,3,NA,NA,NA
2020-12-20,Franklin,4,NA,NA,NA
2020-12-20,Huntingdon,4,NA,NA,NA
2020-12-20,Indiana,4,NA,NA,NA
2020-12-20,Jefferson,2,NA,NA,NA
2020-12-20,Juniata,2,NA,NA,NA
2022-08-26,Clearfield,5,1,3,6
2021-09-09,Luzerne,222,264,168,NA
2021-04-17,Northumberland,224,298,NA,NA
2020-12-20,Lycoming,19,NA,NA,NA
2021-12-01,Lawrence,118,62,228,NA
2022-02-03,Westmoreland,103,113,136,NA
2022-12-19,Columbia,1,4,NA,NA
2021-08-04,Juniata,11,22,NA,NA
2022-01-29,Luzerne,105,148,148,NA
2022-03-31,Butler,24,32,31,162
2021-12-03,Northumberland,100,78,487,NA
2020-12-20,Pike,3,NA,NA,NA
2020-12-20,Snyder,11,NA,NA,NA
2020-12-20,Union,20,NA,NA,NA
2020-12-20,Venango,1,NA,NA,NA
2022-12-23,Beaver,1,NA,NA,NA
2022-09-20,Delaware,82,66,21,NA
2022-04-18,Lebanon,13,20,28,80
2020-12-20,Wyoming,6,NA,NA,NA
2020-12-21,Adams,58,NA,NA,NA
2022-04-23,Mifflin,3,2,1,4
2021-03-23,Washington,2074,625,NA,NA
2021-11-11,Lebanon,180,84,395,NA
2020-12-21,Bedford,19,NA,NA,NA
2021-10-25,Erie,279,104,1348,NA
2021-02-14,Bucks,284,299,NA,NA
2020-12-21,Bradford,101,NA,NA,NA
2022-05-20,Lawrence,9,13,21,46
2022-03-31,Lebanon,19,22,26,69
2020-12-21,Cambria,223,NA,NA,NA
2021-07-29,Washington,118,101,NA,NA
2022-04-04,Fayette,14,23,30,146
2021-08-26,Dauphin,235,278,42,NA
2021-12-14,Perry,32,40,122,NA
2020-12-21,Clarion,18,NA,NA,NA
2021-04-12,Schuylkill,414,735,NA,NA
2022-11-05,Mercer,2,1,NA,NA
2021-04-09,Mifflin,77,110,NA,NA
2022-01-11,Perry,19,22,66,NA
2022-12-01,Pike,1,4,NA,NA
2021-11-05,Wayne,92,30,294,NA
2022-12-08,Beaver,3,NA,NA,NA
2020-12-21,Forest,7,NA,NA,NA
2020-12-21,Fulton,2,NA,NA,NA
2020-12-21,Greene,11,NA,NA,NA
2020-12-21,Huntingdon,102,NA,NA,NA
2022-10-18,Westmoreland,17,12,NA,NA
2020-12-21,Juniata,13,NA,NA,NA
2021-04-01,Susquehanna,226,109,NA,NA
2021-06-14,Blair,53,132,NA,NA
2020-12-21,Lebanon,33,NA,NA,NA
2022-09-05,York,3,NA,NA,NA
2021-12-20,Jefferson,37,20,95,NA
2022-06-10,Jefferson,2,5,3,10
2022-10-28,Luzerne,13,10,NA,NA
2020-12-21,Mifflin,45,NA,NA,NA
2021-10-30,Greene,7,9,19,NA
2022-12-17,Huntingdon,1,NA,NA,NA
2022-07-23,Philadelphia,148,145,143,303
2022-09-19,Cambria,6,3,1,NA
2022-04-13,Union,4,5,10,51
2020-12-21,Pike,8,NA,NA,NA
2020-12-21,Potter,33,NA,NA,NA
2020-12-21,Schuylkill,39,NA,NA,NA
2020-12-21,Snyder,58,NA,NA,NA
2020-12-21,Somerset,114,NA,NA,NA
2020-12-21,Sullivan,4,NA,NA,NA
2020-12-21,Susquehanna,8,NA,NA,NA
2021-06-28,Lebanon,35,86,NA,NA
2022-11-21,Forest,NA,NA,NA,NA
2022-02-08,Columbia,14,29,22,NA
2022-01-28,Wayne,32,25,54,NA
2021-02-02,Beaver,463,278,NA,NA
2022-03-04,York,82,99,157,NA
2021-01-31,Snyder,45,20,NA,NA
2022-09-21,Monroe,8,4,NA,NA
2021-09-26,Washington,80,63,110,NA
2021-07-11,Lebanon,15,22,NA,NA
2021-12-10,Delaware,862,843,2055,NA
2022-12-17,Centre,1,NA,NA,NA
2020-12-22,Bradford,89,NA,NA,NA
2020-12-22,Cameron,6,NA,NA,NA
2021-12-31,Allegheny,468,206,876,NA
2021-11-22,Elk,16,8,69,NA
2021-09-07,Schuylkill,79,99,17,NA
2021-12-04,Westmoreland,192,284,528,NA
2020-12-22,Crawford,101,NA,NA,NA
2020-12-28,Fayette,246,NA,NA,NA
2021-03-05,Jefferson,66,293,NA,NA
2021-06-27,Monroe,36,57,NA,NA
2020-12-22,Elk,106,NA,NA,NA
2021-03-12,Mercer,359,993,NA,NA
2020-12-22,Forest,9,NA,NA,NA
2022-11-13,Adams,NA,1,NA,NA
2020-12-22,Fulton,4,NA,NA,NA
2020-12-22,Greene,20,NA,NA,NA
2021-01-07,Armstrong,126,30,NA,NA
2021-10-23,Erie,143,70,412,NA
2020-12-22,Jefferson,178,NA,NA,NA
2020-12-22,Juniata,12,NA,NA,NA
2022-06-14,Lehigh,32,33,77,154
2022-09-09,Indiana,3,3,NA,NA
2020-12-22,McKean,31,NA,NA,NA
2021-08-15,Washington,80,59,12,NA
2020-12-22,Mifflin,48,NA,NA,NA
2021-04-10,Mifflin,24,180,NA,NA
2021-02-22,Mercer,229,235,NA,NA
2022-11-04,Montour,NA,2,NA,NA
2022-09-04,Cumberland,3,5,3,NA
2021-09-10,Bucks,456,574,179,NA
2021-09-13,Carbon,48,63,7,NA
2020-12-22,Pike,31,NA,NA,NA
2020-12-22,Potter,29,NA,NA,NA
2021-04-03,Montgomery,6468,4072,NA,NA
2022-06-20,Cumberland,23,22,43,92
2020-12-22,Sullivan,3,NA,NA,NA
2020-12-22,Susquehanna,16,NA,NA,NA
2020-12-22,Tioga,48,NA,NA,NA
2021-01-30,Lycoming,313,41,NA,NA
2021-10-23,Monroe,89,54,237,NA
2020-12-22,Warren,83,NA,NA,NA
2022-01-21,Columbia,35,37,80,NA
2020-12-22,Wyoming,16,NA,NA,NA
2022-12-07,Snyder,NA,NA,NA,NA
2021-07-26,Beaver,95,60,NA,NA
2022-10-02,Crawford,NA,NA,NA,NA
2020-12-23,Bedford,40,NA,NA,NA
2021-09-11,Schuylkill,59,89,2,NA
2021-12-03,Lawrence,107,79,234,NA
2021-07-28,Somerset,37,21,NA,NA
2022-11-26,Perry,NA,NA,NA,NA
2020-12-23,Cameron,6,NA,NA,NA
2022-01-03,Lawrence,81,63,122,NA
2021-11-18,Dauphin,447,100,783,NA
2022-12-29,Erie,6,4,NA,NA
2020-12-23,Clarion,100,NA,NA,NA
2020-12-23,Clearfield,66,NA,NA,NA
2020-12-23,Clinton,22,NA,NA,NA
2023-01-02,Fayette,NA,1,NA,NA
2020-12-23,Crawford,26,NA,NA,NA
2021-02-17,Warren,261,42,NA,NA
2022-01-31,Monroe,67,79,82,NA
2021-09-30,Fayette,118,67,359,NA
2020-12-23,Elk,19,NA,NA,NA
2021-12-11,Bedford,15,12,30,NA
2021-04-25,Luzerne,408,251,NA,NA
2020-12-23,Fulton,23,NA,NA,NA
2020-12-23,Jefferson,74,NA,NA,NA
2020-12-23,Juniata,11,NA,NA,NA
2022-08-13,Adams,5,1,3,3
2022-08-17,Monroe,19,11,14,18
2020-12-23,Lawrence,66,NA,NA,NA
2020-12-23,Lebanon,89,NA,NA,NA
2022-06-11,Carbon,1,7,NA,10
2021-09-27,Lackawanna,116,78,177,NA
2022-05-14,Lancaster,26,27,37,172
2020-12-23,McKean,67,NA,NA,NA
2020-12-23,Mercer,119,NA,NA,NA
2020-12-23,Mifflin,48,NA,NA,NA
2021-10-01,Juniata,2,14,7,NA
2021-09-27,Monroe,109,65,75,NA
2020-12-23,Perry,32,NA,NA,NA
2021-07-12,Lehigh,317,444,NA,NA
2020-12-23,Pike,23,NA,NA,NA
2020-12-23,Potter,36,NA,NA,NA
2020-12-23,Schuylkill,252,NA,NA,NA
2020-12-23,Snyder,27,NA,NA,NA
2021-03-31,Potter,23,28,NA,NA
2020-12-23,Sullivan,3,NA,NA,NA
2020-12-23,Susquehanna,29,NA,NA,NA
2020-12-23,Tioga,88,NA,NA,NA
2021-12-16,Indiana,107,140,329,NA
2020-12-23,Warren,154,NA,NA,NA
2021-11-28,Luzerne,116,76,257,NA
2022-04-11,Franklin,14,23,33,157
2021-03-14,Lycoming,81,60,NA,NA
2022-03-11,Westmoreland,22,37,64,NA
2022-02-14,Beaver,21,20,30,NA
2020-12-24,Adams,13,NA,NA,NA
2021-06-07,Dauphin,223,438,NA,NA
2020-12-24,Armstrong,22,NA,NA,NA
2021-10-23,Berks,143,150,509,NA
2020-12-24,Bedford,16,NA,NA,NA
2021-03-13,Adams,294,315,NA,NA
2020-12-24,Blair,5,NA,NA,NA
2020-12-24,Bradford,3,NA,NA,NA
2022-05-06,Westmoreland,34,62,88,278
2022-09-09,Northumberland,3,6,NA,NA
2022-05-13,Union,2,3,4,29
2020-12-24,Cameron,1,NA,NA,NA
2020-12-24,Carbon,63,NA,NA,NA
2020-12-24,Chester,135,NA,NA,NA
2020-12-24,Clarion,11,NA,NA,NA
2020-12-24,Clearfield,34,NA,NA,NA
2020-12-24,Clinton,3,NA,NA,NA
2021-02-02,Wyoming,52,25,NA,NA
2022-10-07,Carbon,5,3,NA,NA
2021-10-14,York,239,244,752,NA
2020-12-24,Elk,2,NA,NA,NA
2020-12-24,Erie,138,NA,NA,NA
2020-12-24,Fayette,26,NA,NA,NA
2020-12-24,Forest,3,NA,NA,NA
2021-05-05,York,1381,2619,NA,NA
2020-12-24,Fulton,4,NA,NA,NA
2020-12-24,Greene,1,NA,NA,NA
2020-12-24,Indiana,55,NA,NA,NA
2020-12-24,Juniata,7,NA,NA,NA
2020-12-24,Lackawanna,41,NA,NA,NA
2020-12-24,Lawrence,13,NA,NA,NA
2021-07-07,Delaware,365,654,NA,NA
2022-01-25,Northampton,130,140,275,NA
2020-12-24,Luzerne,100,NA,NA,NA
2020-12-24,Lycoming,6,NA,NA,NA
2020-12-24,McKean,64,NA,NA,NA
2020-12-24,Mercer,44,NA,NA,NA
2020-12-24,Mifflin,19,NA,NA,NA
2021-07-27,Berks,388,412,NA,NA
2022-01-20,Allegheny,800,539,1621,NA
2021-02-11,Lehigh,632,1083,NA,NA
2021-12-31,Luzerne,146,85,275,NA
2020-12-24,Northumberland,35,NA,NA,NA
2020-12-24,Potter,1,NA,NA,NA
2020-12-24,Schuylkill,186,NA,NA,NA
2020-12-24,Snyder,10,NA,NA,NA
2020-12-18,Monroe,106,NA,NA,NA
2020-12-24,Susquehanna,30,NA,NA,NA
2020-12-24,Tioga,3,NA,NA,NA
2021-01-05,Bucks,1133,149,NA,NA
2020-12-24,Warren,58,NA,NA,NA
2020-12-24,Washington,102,NA,NA,NA
2020-12-24,Wayne,11,NA,NA,NA
2022-01-08,Pike,44,12,48,NA
2022-02-14,Lebanon,32,55,58,NA
2020-12-25,Adams,1,NA,NA,NA
2020-12-25,Allegheny,7,NA,NA,NA
2020-12-25,Beaver,1,NA,NA,NA
2020-12-25,Bucks,36,NA,NA,NA
2020-12-25,Chester,2,NA,NA,NA
2020-12-25,Clearfield,1,NA,NA,NA
2021-01-05,Elk,44,NA,NA,NA
2020-12-25,Dauphin,1,NA,NA,NA
2020-12-25,Delaware,9,1,NA,NA
2020-12-25,Fulton,1,NA,NA,NA
2020-12-25,Lancaster,6,NA,NA,NA
2020-12-25,Lebanon,2,NA,NA,NA
2020-12-25,Lehigh,3,NA,NA,NA
2020-12-25,Montgomery,41,NA,NA,NA
2020-12-25,Montour,1,NA,NA,NA
2021-11-01,Mifflin,24,20,59,NA
2020-12-25,Tioga,1,NA,NA,NA
2020-12-25,Westmoreland,2,NA,NA,NA
2020-12-25,York,3,NA,NA,NA
2020-12-26,Adams,13,NA,NA,NA
2022-10-26,Berks,30,12,NA,NA
